phoneme_id,phoneme,support,correct,incorrect,predicted_count,accuracy,accuracy_percent
45,inðˤ,1,0,1,0,0.0,0.0
142,θan,1,0,1,0,0.0,0.0
252,dˤun,1,0,1,0,0.0,0.0
286,ɣan,1,0,1,0,0.0,0.0
306,qun,1,0,1,0,0.0,0.0
315,kun,1,0,1,1,0.0,0.0
224,sin,0,0,0,1,0.0,0.0
25,antˤ,4,1,3,2,0.25,25.0
281,ɣi,18,9,9,11,0.5,50.0
16,ansˤ,4,2,2,3,0.5,50.0
277,ʕan,4,2,2,2,0.5,50.0
47,unð,2,1,1,2,0.5,50.0
50,unj,2,1,1,3,0.5,50.0
151,jan,2,1,1,1,0.5,50.0
187,ðan,2,1,1,2,0.5,50.0
296,fin,2,1,1,1,0.5,50.0
258,tˤuu,31,19,12,19,0.6129032258064516,61.29032258064516
3,nθ,14,9,5,10,0.6428571428571429,64.28571428571429
14,ndˤ,9,6,3,6,0.6666666666666666,66.66666666666666
39,ind,3,2,1,2,0.6666666666666666,66.66666666666666
48,unθ,3,2,1,2,0.6666666666666666,66.66666666666666
139,θaa,32,23,9,27,0.71875,71.875
253,tˤa,161,119,42,131,0.7391304347826086,73.91304347826086
304,qan,4,3,1,4,0.75,75.0
342,nun,4,3,1,4,0.75,75.0
61,qK,224,176,48,193,0.7857142857142857,78.57142857142857
22,anq,14,11,3,12,0.7857142857142857,78.57142857142857
137,θi,29,23,6,25,0.7931034482758621,79.3103448275862
256,tˤaa,78,62,16,73,0.7948717948717948,79.48717948717949
231,ʃuu,10,8,2,10,0.8,80.0
62,tˤK,66,53,13,56,0.803030303030303,80.3030303030303
2,nð,46,37,9,39,0.8043478260869565,80.43478260869566
141,θuu,31,25,6,27,0.8064516129032258,80.64516129032258
37,inq,11,9,2,10,0.8181818181818182,81.81818181818183
136,θa,130,107,23,115,0.823076923076923,82.3076923076923
284,ɣii,12,10,2,12,0.8333333333333334,83.33333333333334
322,lan,12,10,2,11,0.8333333333333334,83.33333333333334
341,nin,6,5,1,5,0.8333333333333334,83.33333333333334
86,tˤ,38,32,6,34,0.8421052631578947,84.21052631578947
207,rMun,19,16,3,16,0.8421052631578947,84.21052631578947
240,sˤuu,19,16,3,17,0.8421052631578947,84.21052631578947
353,wi,45,38,7,42,0.8444444444444444,84.44444444444444
135,tun,14,12,2,14,0.8571428571428571,85.71428571428571
180,dun,7,6,1,6,0.8571428571428571,85.71428571428571
65,dK,521,448,73,475,0.8598848368522073,85.98848368522073
10,ntˤ,22,19,3,20,0.8636363636363636,86.36363636363636
357,wuu,22,19,3,20,0.8636363636363636,86.36363636363636
283,ɣaa,59,51,8,56,0.864406779661017,86.4406779661017
255,tˤu,15,13,2,14,0.8666666666666667,86.66666666666667
32,inð,8,7,1,7,0.875,87.5
38,ins,8,7,1,8,0.875,87.5
219,su,172,152,20,160,0.8837209302325582,88.37209302325581
34,ink,18,16,2,18,0.8888888888888888,88.88888888888889
117,ʔun,9,8,1,9,0.8888888888888888,88.88888888888889
160,ħan,9,8,1,8,0.8888888888888888,88.88888888888889
230,ʃii,9,8,1,9,0.8888888888888888,88.88888888888889
267,ðˤuu,9,8,1,8,0.8888888888888888,88.88888888888889
175,daa,192,171,21,188,0.890625,89.0625
183,ðu,49,44,5,44,0.8979591836734694,89.79591836734694
336,nu,378,340,38,361,0.8994708994708994,89.94708994708994
181,ða,290,261,29,274,0.9,90.0
116,ʔin,20,18,2,19,0.9,90.0
131,tii,91,82,9,91,0.9010989010989011,90.10989010989012
262,ðˤa,71,64,7,68,0.9014084507042254,90.14084507042254
362,yi,112,101,11,103,0.9017857142857143,90.17857142857143
280,ɣa,153,138,15,150,0.9019607843137255,90.19607843137256
209,zi,84,76,8,79,0.9047619047619048,90.47619047619048
246,dˤu,53,48,5,52,0.9056603773584906,90.56603773584906
138,θu,181,164,17,167,0.9060773480662984,90.60773480662984
177,duu,245,222,23,241,0.9061224489795918,90.61224489795919
133,tan,32,29,3,31,0.90625,90.625
186,ðuu,43,39,4,43,0.9069767441860465,90.69767441860465
96,h,369,335,34,359,0.907859078590786,90.78590785907859
182,ði,274,249,25,260,0.9087591240875912,90.87591240875912
85,dˤ,88,80,8,85,0.9090909090909091,90.9090909090909
21,anʃ,11,10,1,11,0.9090909090909091,90.9090909090909
52,unq,11,10,1,14,0.9090909090909091,90.9090909090909
354,wu,56,51,5,55,0.9107142857142857,91.07142857142857
156,ħu,79,72,7,76,0.9113924050632911,91.13924050632912
249,dˤuu,34,31,3,32,0.9117647058823529,91.17647058823529
168,xuu,12,11,1,11,0.9166666666666666,91.66666666666666
213,zuu,12,11,1,11,0.9166666666666666,91.66666666666666
72,t,634,582,52,606,0.917981072555205,91.7981072555205
244,dˤa,149,137,12,157,0.9194630872483222,91.94630872483222
63,bK,510,469,41,516,0.9196078431372549,91.96078431372548
332,min,25,23,2,23,0.92,92.0
90,f,263,242,21,259,0.9201520912547528,92.01520912547528
12,nf,88,81,7,92,0.9204545454545454,92.04545454545455
113,ʔii,38,35,3,39,0.9210526315789473,92.10526315789474
