actual_phoneme,predicted_phoneme,error_count,actual_support,error_rate,error_rate_percent
<sil>,n,40,5640,0.0070921985815602835,0.7092198581560284
qK,qa,34,224,0.15178571428571427,15.178571428571427
tˤa,qa,33,161,0.20496894409937888,20.496894409937887
m,n,31,2360,0.013135593220338982,1.3135593220338981
dK,da,29,521,0.05566218809980806,5.566218809980806
ma,na,26,1849,0.014061654948620876,1.4061654948620876
dK,bK,22,521,0.04222648752399232,4.222648752399232
wa,<sil>,22,3862,0.005696530295183843,0.5696530295183843
ta,ka,20,1890,0.010582010582010581,1.0582010582010581
n,<sil>,20,2386,0.008382229673093043,0.8382229673093042
na,nn,18,3188,0.0056461731493099125,0.5646173149309912
la,l,17,3719,0.004571121269158376,0.45711212691583764
bK,ba,15,510,0.029411764705882353,2.941176470588235
h,haa,14,369,0.037940379403794036,3.7940379403794036
fi,ti,14,482,0.029045643153526972,2.904564315352697
li,l,14,1295,0.010810810810810811,1.0810810810810811
mm,nn,14,1393,0.010050251256281407,1.0050251256281406
fa,ta,14,1661,0.008428657435279952,0.8428657435279951
laa,l,14,2074,0.006750241080038573,0.6750241080038573
nu,mu,13,378,0.03439153439153439,3.439153439153439
nn,ʔi,12,1471,0.008157715839564922,0.8157715839564922
ma,mm,12,1849,0.006489994591671174,0.6489994591671173
tˤuu,quu,11,31,0.3548387096774194,35.483870967741936
θa,ta,11,130,0.08461538461538462,8.461538461538462
ðaa,baa,11,538,0.020446096654275093,2.0446096654275094
t,k,11,634,0.017350157728706624,1.7350157728706623
li,mi,11,1295,0.008494208494208495,0.8494208494208495
naa,maa,11,1313,0.008377760853008377,0.8377760853008377
ʔi,<sil>,11,2291,0.004801396769969445,0.48013967699694454
tˤaa,qaa,10,78,0.1282051282051282,12.82051282051282
m,ʔa,10,2360,0.00423728813559322,0.423728813559322
m,hu,10,2360,0.00423728813559322,0.423728813559322
na,ma,10,3188,0.003136762860727729,0.3136762860727729
la,na,10,3719,0.0026888948642108095,0.26888948642108096
<sil>,laa,10,5640,0.0017730496453900709,0.1773049645390071
θu,ku,9,181,0.049723756906077346,4.972375690607735
bii,dii,9,263,0.034220532319391636,3.4220532319391634
ði,bi,9,274,0.032846715328467155,3.2846715328467155
ða,ba,9,290,0.03103448275862069,3.103448275862069
ða,da,9,290,0.03103448275862069,3.103448275862069
nn,mm,9,1471,0.006118286879673691,0.6118286879673691
m,<sil>,9,2360,0.0038135593220338985,0.38135593220338987
l,la,9,4749,0.0018951358180669614,0.18951358180669614
su,ʃu,8,172,0.046511627906976744,4.651162790697675
jK,ja,8,282,0.028368794326241134,2.8368794326241136
b,rMa,8,566,0.014134275618374558,1.4134275618374559
mi,mm,8,1473,0.005431093007467753,0.5431093007467752
l,wa,8,4749,0.0016845651716150768,0.16845651716150767
ʕi,ʔi,7,268,0.026119402985074626,2.6119402985074625
muu,nuu,7,294,0.023809523809523808,2.380952380952381
hu,mu,7,1731,0.004043905257076834,0.4043905257076834
ta,fa,7,1890,0.003703703703703704,0.3703703703703704
l,laa,7,4749,0.0014739945251631922,0.14739945251631922
l,na,7,4749,0.0014739945251631922,0.14739945251631922
<sil>,rMaa,7,5640,0.0012411347517730497,0.12411347517730498
tˤK,qK,6,66,0.09090909090909091,9.090909090909092
ðˤa,dˤa,6,71,0.08450704225352113,8.450704225352112
daa,baa,6,192,0.03125,3.125
di,bi,6,228,0.02631578947368421,2.631578947368421
taa,kaa,6,229,0.026200873362445413,2.6200873362445414
f,k,6,263,0.022813688212927757,2.2813688212927756
rMaa,<sil>,6,438,0.0136986301369863,1.36986301369863
bK,b,6,510,0.011764705882352941,1.1764705882352942
hi,y,6,815,0.007361963190184049,0.7361963190184049
tu,m,6,842,0.007125890736342043,0.7125890736342043
ba,da,6,1008,0.005952380952380952,0.5952380952380952
mu,mm,6,1138,0.005272407732864675,0.5272407732864675
mu,nu,6,1138,0.005272407732864675,0.5272407732864675
maa,wa,6,1261,0.004758128469468675,0.47581284694686754
naa,nn,6,1313,0.00456968773800457,0.456968773800457
fa,ba,6,1661,0.003612281757977122,0.3612281757977122
ʕa,na,6,1714,0.003500583430571762,0.3500583430571762
hu,m,6,1731,0.0034662045060658577,0.34662045060658575
hu,wa,6,1731,0.0034662045060658577,0.34662045060658575
m,wa,6,2360,0.002542372881355932,0.2542372881355932
n,luu,6,2386,0.002514668901927913,0.2514668901927913
n,mi,6,2386,0.002514668901927913,0.2514668901927913
n,nuu,6,2386,0.002514668901927913,0.2514668901927913
ʔa,l,6,2975,0.0020168067226890756,0.20168067226890757
na,kaa,6,3188,0.0018820577164366374,0.18820577164366373
wa,ww,6,3862,0.0015535991714137752,0.15535991714137753
wa,laa,6,3862,0.0015535991714137752,0.15535991714137753
l,fi,6,4749,0.0012634238787113076,0.12634238787113075
<sil>,dK,6,5640,0.0010638297872340426,0.10638297872340426
<sil>,daa,6,5640,0.0010638297872340426,0.10638297872340426
<sil>,wa,6,5640,0.0010638297872340426,0.10638297872340426
ɣaa,ðˤaa,5,59,0.0847457627118644,8.47457627118644
nii,mii,5,328,0.01524390243902439,1.524390243902439
ni,li,5,351,0.014245014245014245,1.4245014245014245
ja,ka,5,440,0.011363636363636364,1.1363636363636365
ww,wa,5,454,0.011013215859030838,1.1013215859030838
bK,dK,5,510,0.00980392156862745,0.9803921568627451
dK,qa,5,521,0.009596928982725527,0.9596928982725527
ðaa,ʕa,5,538,0.00929368029739777,0.929368029739777
qaa,tˤaa,5,544,0.009191176470588236,0.9191176470588236
r,rMa,5,578,0.00865051903114187,0.8650519031141869
r,rMu,5,578,0.00865051903114187,0.8650519031141869
rM,ʔa,5,720,0.006944444444444444,0.6944444444444444
rM,rMu,5,720,0.006944444444444444,0.6944444444444444
tu,ku,5,842,0.0059382422802850355,0.5938242280285035
y,la,5,1322,0.0037821482602118004,0.37821482602118006
bi,b,5,1458,0.003429355281207133,0.3429355281207133
nn,na,5,1471,0.003399048266485384,0.3399048266485384
ʕa,n,5,1714,0.0029171528588098016,0.29171528588098017
ta,wa,5,1890,0.0026455026455026454,0.26455026455026454
m,l,5,2360,0.00211864406779661,0.211864406779661
m,hi,5,2360,0.00211864406779661,0.211864406779661
n,duu,5,2386,0.0020955574182732607,0.20955574182732606
n,rMuu,5,2386,0.0020955574182732607,0.20955574182732606
n,mii,5,2386,0.0020955574182732607,0.20955574182732606
n,muu,5,2386,0.0020955574182732607,0.20955574182732606
ʔa,m,5,2975,0.0016806722689075631,0.16806722689075632
ʔa,n,5,2975,0.0016806722689075631,0.16806722689075632
la,ʕ,5,3719,0.0013444474321054048,0.13444474321054048
la,ʕa,5,3719,0.0013444474321054048,0.13444474321054048
la,wa,5,3719,0.0013444474321054048,0.13444474321054048
l,y,5,4749,0.0010528532322594231,0.10528532322594232
l,ʔa,5,4749,0.0010528532322594231,0.10528532322594232
l,ʔi,5,4749,0.0010528532322594231,0.10528532322594232
l,lu,5,4749,0.0010528532322594231,0.10528532322594232
<sil>,h,5,5640,0.0008865248226950354,0.08865248226950355
nð,mm,4,46,0.08695652173913043,8.695652173913043
fuu,kuu,4,98,0.04081632653061224,4.081632653061225
ɣa,dˤa,4,153,0.026143790849673203,2.6143790849673203
θu,tu,4,181,0.022099447513812154,2.209944751381215
daa,ðaa,4,192,0.020833333333333332,2.083333333333333
qi,ki,4,213,0.018779342723004695,1.8779342723004695
taa,h,4,229,0.017467248908296942,1.7467248908296942
yy,ya,4,246,0.016260162601626018,1.6260162601626018
ki,ti,4,261,0.01532567049808429,1.532567049808429
hii,bi,4,321,0.012461059190031152,1.2461059190031152
nii,lii,4,328,0.012195121951219513,1.2195121951219512
h,<sil>,4,369,0.01084010840108401,1.084010840108401
nu,lu,4,378,0.010582010582010581,1.0582010582010581
ħ,ta,4,385,0.01038961038961039,1.0389610389610389
fii,θii,4,392,0.01020408163265306,1.0204081632653061
ja,jK,4,440,0.00909090909090909,0.9090909090909091
yaa,y,4,444,0.009009009009009009,0.9009009009009009
ðii,la,4,475,0.008421052631578947,0.8421052631578947
luu,quu,4,478,0.008368200836820083,0.8368200836820083
fi,ki,4,482,0.008298755186721992,0.8298755186721992
dK,ba,4,521,0.007677543186180422,0.7677543186180422
t,tu,4,634,0.006309148264984227,0.6309148264984227
haa,n,4,645,0.006201550387596899,0.6201550387596899
ti,ki,4,681,0.005873715124816446,0.5873715124816447
ti,wa,4,681,0.005873715124816446,0.5873715124816447
s,ʃ,4,751,0.005326231691078562,0.5326231691078562
s,ya,4,751,0.005326231691078562,0.5326231691078562
w,ʔa,4,987,0.004052684903748734,0.4052684903748734
w,ma,4,987,0.004052684903748734,0.4052684903748734
w,ya,4,987,0.004052684903748734,0.4052684903748734
ba,bK,4,1008,0.003968253968253968,0.3968253968253968
ba,fa,4,1008,0.003968253968253968,0.3968253968253968
mu,l,4,1138,0.0035149384885764497,0.35149384885764495
maa,mm,4,1261,0.0031720856463124504,0.317208564631245
li,bi,4,1295,0.003088803088803089,0.3088803088803089
li,ðaa,4,1295,0.003088803088803089,0.3088803088803089
li,ni,4,1295,0.003088803088803089,0.3088803088803089
mm,li,4,1393,0.002871500358937545,0.2871500358937545
mm,ma,4,1393,0.002871500358937545,0.2871500358937545
bi,di,4,1458,0.0027434842249657062,0.2743484224965706
bi,fi,4,1458,0.0027434842249657062,0.2743484224965706
rMa,b,4,1567,0.0025526483726866626,0.2552648372686663
ʕa,ħa,4,1714,0.002333722287047841,0.2333722287047841
hu,mm,4,1731,0.002310803004043905,0.2310803004043905
hu,laa,4,1731,0.002310803004043905,0.2310803004043905
ya,y,4,1751,0.002284408909194746,0.2284408909194746
ya,maa,4,1751,0.002284408909194746,0.2284408909194746
ta,s,4,1890,0.0021164021164021165,0.21164021164021166
ta,m,4,1890,0.0021164021164021165,0.21164021164021166
laa,ʔa,4,2074,0.0019286403085824494,0.19286403085824494
laa,wa,4,2074,0.0019286403085824494,0.19286403085824494
ʔi,nn,4,2291,0.001745962461807071,0.1745962461807071
n,ʔa,4,2386,0.0016764459346186086,0.16764459346186086
ʔa,ʕ,4,2975,0.0013445378151260505,0.13445378151260504
