بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ || <wasl> l ħa m du <space> li l laa hi <space> ra b bi <space> <wasl> l ʕaa la mii na
الرَّحْمَـٰنِ الرَّحِيمِ || <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
مَالِكِ يَوْمِ الدِّينِ || maa li ki <space> ya w mi <space> <wasl> d dii ni
إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ || ʔi y yaa ka <space> na ʕ bu du <space> wa ʔi y yaa ka <space> na s ta ʕii nu
اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ || h di naa <space> <wasl> sˤ sˤi raa tˤa <space> <wasl> l mu s ta qii ma
صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ || sˤi raa tˤa <space> <wasl> l la ðii na <space> ʔa n ʕa m ta <space> ʕa la y hi m <space> ɣa y ri <space> <wasl> l ma ɣ dˤuu bi <space> ʕa la y hi m <space> wa laa <space> <wasl> dˤ dˤaa l lii na
بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ الم || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi <space> ʔa li f laa m mii m
ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ || ðaa li ka <space> <wasl> l ki taa bu <space> laa <space> ra y ba <space> fii hi <space> hu dan <space> l li <wasl> l mu t ta qii na
الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ || <wasl> l la ðii na <space> yu ʔ mi nuu na <space> bi <wasl> l ɣa y bi <space> wa yu qii muu na <space> <wasl> sˤ sˤa laa Ta <space> wa mi m maa <space> ra za q naa hu m <space> yu n fi quu na
وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ || wa <wasl> l la ðii na <space> yu ʔ mi nuu na <space> bi maa <space> ʔu n zi la <space> ʔi la y ka <space> wa maa <space> ʔu n zi la <space> mi n <space> qa b li ka <space> wa bi <wasl> l ʔaa xi ra Ti <space> hu m <space> yuu qi nuu na
أُولَـٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَـٰئِكَ هُمُ الْمُفْلِحُونَ || ʔuu laa ʔi ka <space> ʕa laa <space> hu dan <space> m mi n <space> r ra b bi hi m <space> wa ʔuu laa ʔi ka <space> hu mu <space> <wasl> l mu f li ħuu na
إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ || ʔi n na <space> <wasl> l la ðii na <space> ka fa ruu <space> sa waa ʔun <space> ʕa la y hi m <space> ʔa ʔa n ða r ta hu m <space> ʔa m <space> la m <space> tu n ði r hu m <space> laa <space> yu ʔ mi nuu na
خَتَمَ اللَّٰهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ || xa ta ma <space> <wasl> l laa hu <space> ʕa laa <space> qu luu bi hi m <space> wa ʕa laa <space> sa m ʕi hi m <space> wa ʕa laa <space> ʔa b sˤaa ri hi m <space> ɣi ʃaa wa Tun <space> wa la hu m <space> ʕa ðaa bun <space> ʕa ðˤii mun
وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّٰهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ || wa mi na <space> <wasl> n naa si <space> ma n <space> ya quu lu <space> ʔaa ma n naa <space> bi <wasl> l laa hi <space> wa bi <wasl> l ya w mi <space> <wasl> l ʔaa xi ri <space> wa maa <space> hu m <space> bi mu ʔ mi nii na
يُخَادِعُونَ اللَّٰهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ || yu xaa di ʕuu na <space> <wasl> l laa ha <space> wa <wasl> l la ðii na <space> ʔaa ma nuu <space> wa maa <space> ya x da ʕuu na <space> ʔi l laa <space> ʔa n fu sa hu m <space> wa maa <space> ya ʃ ʕu ruu na
فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّٰهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ || fii <space> qu luu bi hi m <space> m ma ra dˤun <space> fa zaa da hu mu <space> <wasl> l laa hu <space> ma ra dˤan <space> wa la hu m <space> ʕa ðaa bun <space> ʔa lii mun <space> bi maa <space> kaa nuu <space> ya k ði buu na
وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ || wa ʔi ðaa <space> qii la <space> la hu m <space> laa <space> tu f si duu <space> fii <space> <wasl> l ʔa r dˤi <space> qaa luu <space> ʔi n na maa <space> na ħ nu <space> mu sˤ li ħuu na
أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَـٰكِن لَّا يَشْعُرُونَ || ʔa laa <space> ʔi n na hu m <space> hu mu <space> <wasl> l mu f si duu na <space> wa laa ki n <space> l laa <space> ya ʃ ʕu ruu na
وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَـٰكِن لَّا يَعْلَمُونَ || wa ʔi ðaa <space> qii la <space> la hu m <space> ʔaa mi nuu <space> ka maa <space> ʔaa ma na <space> <wasl> n naa su <space> qaa luu <space> ʔa nu ʔ mi nu <space> ka maa <space> ʔaa ma na <space> <wasl> s su fa haa ʔu <space> ʔa laa <space> ʔi n na hu m <space> hu mu <space> <wasl> s su fa haa ʔu <space> wa laa ki n <space> l laa <space> ya ʕ la muu na
وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ || wa ʔi ðaa <space> la quu <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> qaa luu <space> ʔaa ma n naa <space> wa ʔi ðaa <space> xa la w <space> ʔi laa <space> ʃa yaa tˤii ni hi m <space> qaa luu <space> ʔi n naa <space> ma ʕa ku m <space> ʔi n na maa <space> na ħ nu <space> mu s ta h zi ʔuu na
اللَّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ || <wasl> l laa hu <space> ya s ta h zi ʔu <space> bi hi m <space> wa ya mu d du hu m <space> fii <space> tˤu ɣ yaa ni hi m <space> ya ʕ ma huu na
أُولَـٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ || ʔuu laa ʔi ka <space> <wasl> l la ðii na <space> <wasl> ʃ ta ra wu <space> <wasl> dˤ dˤa laa la Ta <space> bi <wasl> l hu daa <space> fa maa <space> ra bi ħa t <space> t ti jaa ra tu hu m <space> wa maa <space> kaa nuu <space> mu h ta dii na
مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّٰهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ || ma θa lu hu m <space> ka ma θa li <space> <wasl> l la ðii <space> <wasl> s ta w qa da <space> naa ran <space> fa la m maa <space> ʔa dˤaa ʔa t <space> maa <space> ħa w la huu <space> ða ha ba <space> <wasl> l laa hu <space> bi nuu ri hi m <space> wa ta ra ka hu m <space> fii <space> ðˤu lu maa tin <space> l laa <space> yu b sˤi ruu na
صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ || sˤu m mun <space> bu k mun <space> ʕu m yun <space> fa hu m <space> laa <space> ya r ji ʕuu na
